# Summary
file	blocks	japanese_runs
ADV.DAT	0x15E6E0	171	給厨 | 梛杵 | 矇矇矇 | 矣矣矣矣矣 | 矣矣矣矣矣贖
ADV.DAT	0x160E70	162	給酢 | 摺寞橘 | 獻獻獻 | 幕鞠 | 珥珥珥珥珥
ADV.DAT	0x163620	182	隔冠 | 緒藷 | 囂塾 | 聳聳聽 | 肇投
ADV.DAT	0x165D90	232	槓柝 | 棍梠 | 堂歸 | 獺獺珥 | 慈剛
ADV.DAT	0x1685A0	167	囹囹囹囹囹囹 | 恍封封封惧悧惧 | 復瀦封復惧愍磋 | 凋復譜 | 踈谿
ADV.DAT	0x16AC40	169	覧覧覧覧覧覧 | 剌末末末劔劭劔 | 侭叙末侭劔匣 | 徐侭枚 | 蓿茗
ADV.DAT	0x16D2B0	167	粕粕粕粕粕粕 | 棊酷涛涛痘覧棊劉 | 痘酷涛痘覧侶 | 漉痘島 | 褪螽
ADV.DAT	0x16F940	150	覧覧覧覧覧覧 | 剞粕粕漠劔劭劔 | 漠数粕劔劔匣 | 杉漠蝿 | 蔡茘
ADV.DAT	0x171FD0	162	麹麹麹麹 | 割滑滑褐倹沽 | 滑滑割瓦 | 滑割割褐栖紆 | 隙滑割
ADV.DAT	0x174580	175	試試試試 | 割滑滑轄国 | 滑滑滑瓦 | 滑滑滑轄其紆 | 滑幹
ADV.DAT	0x176B30	168	割滑滑褐件棊 | 滑滑滑苅 | 滑滑滑褐承紆 | 滑干 | 褐滑滑
ADV.DAT	0x179100	180	套套涛答 | 恰滑滑麹国序 | 漕滑滑轄滑萱 | 滑滑滑轄袖珱 | 号滑滑
ADV.DAT	0x17B6F0	143	鮻聽 | 醸氿 | 跂聳 | 跏聽聳 | 跂聽
ADV.DAT	0x17DD20	115	渼粐 | 渼粐 | 樹沆 | 趙粐 | 渼跏粐
ADV.DAT	0x180330	125	跏琺 | 鵫赳 | 跏珈 | 蒸汜 | 鱶珥珈
ADV.DAT	0x182970	149	鱆硅 | 鱶矇 | 趁矇 | 桜沆 | 鱶矣矇
ADV.DAT	0x184F90	191	囹洙 | 澵澵 | 雛覧洒 | 璞爿 | 澵澵澵瀨
ADV.DAT	0x187730	193	瑩棏 | 梨惧 | 璞牘 | 璃雷 | ヰ瑞ヌ
ADV.DAT	0x189EF0	183	給淳 | 僑恚却 | 萩詰 | 寸潤 | 聲聽
ADV.DAT	0x18C690	172	血血血血 | 喝滑滑轄国尢 | 槽滑滑滑滑 | 滑滑滑轄袖磬 | 包膝
ADV.DAT	0x18EC30	164	汢演演演塩 | 賊珱 | 難摘 | 橾鞜 | 橾葹
ADV.DAT	0x1911E0	141	趾葯 | 光氿 | 趾葯 | 跏蒿葯 | 黑跏蒿葯
ADV.DAT	0x193850	132	渼蒿 | 淼蒿 | 蒸汜 | 趾葯 | 渼跏蒿葯
ADV.DAT	0x195E80	224	跏跏跏澵炫 | 粭鴦 | 趾蓍鴦 | 煇譯煇貎 | 氿鯊
ADV.DAT	0x198570	200	跏跏跏澵炫 | 肄鴦 | 趺裼鴦 | 煇譬煇貔 | 氿鯀
ADV.DAT	0x19ACA0	222	驎洄汜 | 驎洄 | 郤悋 | 馞驎 | 鮴悖
ADV.DAT	0x19D380	219	洄汜 | 鮖裡 | 浯泚 | 洄泚 | 霻捍
ADV.DAT	0x19FA70	127	驎驎鈆 | 溿釶 | 粭煇 | 粭葢粐蓁 | 焏浯
ADV.DAT	0x1A21D0	179	篏腕 | 驎驎 | 現粮 | 毎鵡 | 袷鵆
ADV.DAT	0x1A4690	167	篋洋 | 洄洄 | 曹噺 | 汯鮻 | 汯洄
ADV.DAT	0x1A6C00	127	張嘶 | 囃血血鋳 | 嚮欠 | 囃囹 | 囃欠
ADV.DAT	0x1A8F10	139	時堀 | 梹事棹 | 毎ヨ湊 | 毎ャャャャ | 乂撻
ADV.DAT	0x1AB260	136	討嘶 | 囀血血涛 | 嚮欠 | 囀答 | 囀欠
ADV.DAT	0x1AD560	161	牌肇 | 箕屎 | 撈撈尠 | 撈撈撈撥幣 | 随緒緒演演演潔
ADV.DAT	0x1AF830	134	沺實 | 沺麹拷 | 沺麹号 | 鋸給鋸 | 沺麹
ADV.DAT	0x1B1A00	128	翅怏除 | 体蜴罹 | 子側 | ず砒 | 亅釀
ADV.DAT	0x1B4270	106	蠧揄傷 | 籍逅晧 | 擯靨 | 塒齏疽 | 鉗逹
ADV.DAT	0x1B6B20	148	飼頌 | 慚八 | 痲惱 | 鞆徃 | 矼肄
ADV.DAT	0x1B8FC0	87	ュポ | 穀悧 | 教賠ャ | ル莫恫睡 | 瑞数
ADV.DAT	0x1BB5B0	66	椒蜘 | 蓍鉉 | 聽韶鵰聊仕 | 狭嚥 | 釗脉
ADV.DAT	0x1BDAB0	121	粕銜 | 漁攝 | 杳攜 | 釟挈 | 瑯裹
ADV.DAT	0x1BFF60	222	鬲萪 | 洄洄 | 愈洄洄坙 | 枻役 | 咸裝裨
ADV.DAT	0x1C2A00	260	魄耙 | 儔叟 | 洄洄 | 琵洄洄哿 | 枻避
ADV.DAT	0x1C54A0	257	洄洄 | 放洄洄喆 | 桒呆 | 賑鈕蓁 | 狆奎
ADV.DAT	0x1C7F80	127	捲桔柆 | 亢拝阮 | 五翩喫 | 帋鱧裹袰袈 | 眺釦
ADV.DAT	0x1CA260	119	崛纛 | 滲訪 | 児雲冽 | 岫牧髟 | 借簇泳
ADV.DAT	0x1CC520	114	琳聳 | 聽聽 | 摎酪緒女撈 | 擲週 | 斛湧
ADV.DAT	0x1CE860	120	椴聨 | 聽聽 | 椈投滑涛椒 | 椣鉄 | 俎朶
ADV.DAT	0x1D0BC0	118	飯葹 | 蒿蒿 | 對萩給渠屁 | 峅騎 | 槊禰
ADV.DAT	0x1D2EF0	112	蔆餌 | 侏鈞 | 佛珥 | 鎮惑穏 | 頂綻
ADV.DAT	0x1D51B0	100	堽赱 | 挫喞 | 沙顛 | 遁贏 | 葭嗜
ADV.DAT	0x1D74A0	87	嵬粐 | 汰論 | 俚鰄 | 鰆孀 | 宛嬖
ADV.DAT	0x1D9790	183	聽聽 | 滉萼 | 羣勧飜 | 肖渝 | 溪瞹
ADV.DAT	0x1DC1C0	196	矣矣 | 壻蕚 | 嶼魲 | 喇旒 | 邵苅酳
